dataset,task,model,feature_set,metric,fold,value
churn,classification,logreg,baseline,accuracy,0,0.8119233498935415
churn,classification,logreg,baseline,accuracy,1,0.8090844570617459
churn,classification,logreg,baseline,accuracy,2,0.8197303051809794
churn,classification,logreg,baseline,accuracy,3,0.7904829545454546
churn,classification,logreg,baseline,accuracy,4,0.7954545454545454
churn,classification,logreg,baseline,f1,0,0.6197991391678622
churn,classification,logreg,baseline,f1,1,0.6151645207439199
churn,classification,logreg,baseline,f1,2,0.6308139534883721
churn,classification,logreg,baseline,f1,3,0.5603576751117735
churn,classification,logreg,baseline,f1,4,0.5777126099706745
churn,classification,logreg,baseline,roc_auc,0,0.8544950786638766
churn,classification,logreg,baseline,roc_auc,1,0.8454752124828852
churn,classification,logreg,baseline,roc_auc,2,0.8635976129582267
churn,classification,logreg,baseline,roc_auc,3,0.825360376112212
churn,classification,logreg,baseline,roc_auc,4,0.8364135437892407
churn,classification,random_forest,baseline,accuracy,0,0.7934705464868701
churn,classification,random_forest,baseline,accuracy,1,0.7927608232789212
churn,classification,random_forest,baseline,accuracy,2,0.7920511000709723
churn,classification,random_forest,baseline,accuracy,3,0.7755681818181818
churn,classification,random_forest,baseline,accuracy,4,0.7784090909090909
churn,classification,random_forest,baseline,f1,0,0.5726872246696035
churn,classification,random_forest,baseline,f1,1,0.5615615615615616
churn,classification,random_forest,baseline,f1,2,0.56071964017991
churn,classification,random_forest,baseline,f1,3,0.5093167701863354
churn,classification,random_forest,baseline,f1,4,0.5185185185185185
churn,classification,random_forest,baseline,roc_auc,0,0.8329522849983209
churn,classification,random_forest,baseline,roc_auc,1,0.8196943863184274
churn,classification,random_forest,baseline,roc_auc,2,0.8355731225296442
churn,classification,random_forest,baseline,roc_auc,3,0.8047078784111072
churn,classification,random_forest,baseline,roc_auc,4,0.8156282646696801
churn,classification,xgboost,baseline,accuracy,0,0.8055358410220014
churn,classification,xgboost,baseline,accuracy,1,0.7892122072391767
churn,classification,xgboost,baseline,accuracy,2,0.8005677785663591
churn,classification,xgboost,baseline,accuracy,3,0.7734375
churn,classification,xgboost,baseline,accuracy,4,0.7926136363636364
churn,classification,xgboost,baseline,f1,0,0.6005830903790087
churn,classification,xgboost,baseline,f1,1,0.5738880918220947
